更新时间,#genre#
CCTV-10,http://t.061899.xyz/tl/dq.php?id=cctv10$订阅源
CCTV-10,https://zby.130519.xyz/PLTV/11/224/3221225743/index.m3u8$订阅源
CCTV-10,http://183.11.239.36:808/hls/28/index.m3u8$订阅源
CCTV-11,http://58.57.40.22:9901/tsfile/live/1011_1.m3u8$订阅源
CCTV-11,http://183.11.239.36:808/hls/29/index.m3u8$订阅源
CCTV-11,https://piccpndali.v.myalicdn.com/audio/cctv11_2.m3u8$订阅源
CCTV-11,http://t.061899.xyz/tl/dq.php?id=cctv11$订阅源
CCTV-11,http://120.76.248.139/live/bfgd/4200000130.m3u8$订阅源
CCTV-11,http://112.27.235.94:8000/hls/12/index.m3u8$订阅源
CCTV-11,https://zby.130519.xyz/PLTV/11/224/3221226101/index.m3u8$订阅源
CCTV-11,http://ygbh.site/php/bfgd.php?id=130$订阅源
CCTV-12,http://112.27.235.94:8000/hls/13/index.m3u8$订阅源
CCTV-12,http://58.57.40.22:9901/tsfile/live/1012_1.m3u8$订阅源
CCTV-12,http://112.46.85.60:8009/hls/507/index.m3u8$订阅源
CCTV-12,http://183.11.239.36:808/hls/30/index.m3u8$订阅源
CCTV-12,https://piccpndali.v.myalicdn.com/audio/cctv12_2.m3u8$订阅源
CCTV-12,http://t.061899.xyz/tl/dq.php?id=cctv12$订阅源
CCTV-12,http://120.76.248.139/live/bfgd/4200000131.m3u8$订阅源
CCTV-12,https://zby.130519.xyz/PLTV/11/224/3221226103/index.m3u8$订阅源
CCTV-13,http://112.27.235.94:8000/hls/14/index.m3u8$订阅源
CCTV-13,http://58.57.40.22:9901/tsfile/live/1013_1.m3u8$订阅源
CCTV-13,http://t.061899.xyz/tl/dq.php?id=cctv13$订阅源
CCTV-13,https://event.pull.hebtv.com/jishi/cp1.m3u8$订阅源
CCTV-13,https://zby.130519.xyz/PLTV/11/224/3221226128/index.m3u8$订阅源
CCTV-13,http://ali-m-l.cztv.com/channels/lantian/channel21/1080p.m3u8$订阅源
CCTV-13,http://39.164.160.249:9901/tsfile/live/0013_1.m3u8$订阅源
CCTV-13,http://jwplay.hebyun.com.cn/live/cctv13/1500k/tzwj_video.m3u8$订阅源
CCTV-14,http://112.27.235.94:8000/hls/15/index.m3u8$订阅源
CCTV-14,http://58.57.40.22:9901/tsfile/live/1014_1.m3u8$订阅源
CCTV-14,http://gslbserv.itv.cmvideo.cn/1000000001000008170/1.m3u8?channel-id=ystenlive&Contentid=1000000001000008170&livemode=1&stbId=3$订阅源
CCTV-14,http://182.150.23.74:808/hls/14/index.m3u8$订阅源
CCTV-14,https://piccpndali.v.myalicdn.com/audio/cctv14_2.m3u8$订阅源
CCTV-14,https://event.pull.hebtv.com/jishi/cp2.m3u8$订阅源
CCTV-14,http://t.061899.xyz/tl/dq.php?id=cctv14$订阅源
CCTV-14,http://120.76.248.139/live/bfgd/4200000132.m3u8$订阅源
CCTV-15,http://112.27.235.94:8000/hls/16/index.m3u8$订阅源
CCTV-15,http://58.57.40.22:9901/tsfile/live/1015_1.m3u8$订阅源
CCTV-15,http://183.11.239.36:808/hls/102/index.m3u8$订阅源
CCTV-15,http://222.169.85.8:9901/tsfile/live/0015_1.m3u8$订阅源
CCTV-15,http://120.76.248.139/live/bfgd/4200000133.m3u8$订阅源
CCTV-15,https://zby.130519.xyz/PLTV/11/224/3221226147/index.m3u8$订阅源
CCTV-15,http://t.061899.xyz/tl/dq.php?id=cctv15$订阅源
CCTV-15,http://gmxw.7766.org:808/hls/102/index.m3u8$订阅源
CCTV-16,http://183.11.239.36:808/hls/169/index.m3u8$订阅源
CCTV-16,http://gmxw.7766.org:808/hls/169/index.m3u8$订阅源
CCTV-16,http://t.061899.xyz/tl/dq.php?id=cctv16$订阅源
CCTV-16,https://zby.130519.xyz/PLTV/11/224/3221226120/index.m3u8$订阅源
CCTV-16,https://piccpndali.v.myalicdn.com/audio/cctv16_2.m3u8$订阅源
CCTV-16,http://gslbserv.itv.cmvideo.cn/1000000006000233002/1.m3u8?channel-id=ystenlive&Contentid=1000000006000233002&livemode=1&stbId=3$订阅源
CCTV-16,http://lu.wqwqwq.sbs/itv/1000000006000233002.m3u8?cdn=ystenlive$订阅源
CCTV-16,http://livetv.wqwqwq.sbs/gaoma/cctv4k16.m3u8$订阅源
CCTV-17,http://222.169.85.8:9901/tsfile/live/0007_1.m3u8$订阅源
CCTV-17,http://58.57.40.22:9901/tsfile/live/0019_1.m3u8$订阅源
CCTV-17,http://120.76.248.139/live/bfgd/4200000204.m3u8$订阅源
CCTV-17,http://183.11.239.36:808/hls/35/index.m3u8$订阅源
CCTV-17,http://120.238.94.10:9901/tsfile/live/1048_1.m3u8$订阅源
CCTV-17,http://gslbserv.itv.cmvideo.cn/1000000006000268004/1.m3u8?channel-id=ystenlive&Contentid=1000000006000268004&livemode=1&stbId=3$订阅源
CCTV-17,https://piccpndali.v.myalicdn.com/audio/cctv17_2.m3u8$订阅源
CCTV-17,http://t.061899.xyz/tl/dq.php?id=cctv17$订阅源
CETV1,http://gslbserv.itv.cmvideo.cn/5000000002000002652/1.m3u8?channel-id=bestzb&Contentid=5000000002000002652&livemode=1&stbId=3$订阅源
CETV4,http://gslbserv.itv.cmvideo.cn/5000000011000031126/1.m3u8?channel-id=bestzb&Contentid=5000000011000031126&livemode=1&stbId=3$订阅源
熊猫直播,https://gcwbndali.v.myalicdn.com/gcwbnd/ipanda1000_2/index.m3u8$订阅源
直播中国,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001$订阅源

💰央视付费频道,#genre#
世界地理,http://ygbh.site/php/bfgd.php?id=177$订阅源
CGTN,http://112.27.235.94:8000/hls/17/index.m3u8$订阅源
CGTN,http://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8$订阅源
CGTN,https://news.cgtn.com/resource/live/english/cgtn-news.m3u8$订阅源
CGTN,http://gslbserv.itv.cmvideo.cn/7745129417417101820/1.m3u8?channel-id=hnbblive&Contentid=7745129417417101820&livemode=1&stbId=3$订阅源
CGTN,https://0472.org/hls/cgtn.m3u8$订阅源
CGTN,http://t.061899.xyz/tl/dq.php?id=cgtn$订阅源

📡卫视频道,#genre#
广东卫视,http://112.27.235.94:8000/hls/30/index.m3u8$订阅源
广东卫视,http://58.57.40.22:9901/tsfile/live/1039_1.m3u8$订阅源
广东卫视,http://183.11.239.36:808/hls/80/index.m3u8$订阅源
广东卫视,http://124.116.183.146:9901/tsfile/live/0125_1.m3u8$订阅源
广东卫视,http://120.76.248.139/live/bfgd/4200000092.m3u8$订阅源
广东卫视,http://gslbserv.itv.cmvideo.cn/1000000001000014176/1.m3u8?channel-id=ystenlive&Contentid=1000000001000014176&livemode=1&stbId=3$订阅源
广东卫视,https://zby.130519.xyz/PLTV/11/224/3221225731/index.m3u8$订阅源
广东卫视,http://t.061899.xyz/tl/dq.php?id=gdws$订阅源
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8$订阅源
浙江卫视,http://112.27.235.94:8000/hls/29/index.m3u8$订阅源
浙江卫视,http://58.57.40.22:9901/tsfile/live/1029_1.m3u8$订阅源
浙江卫视,http://ali-m-l.cztv.com:80/channels/lantian/channel001/1080p.m3u8$订阅源
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8$订阅源
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8$订阅源
浙江卫视,http://ali-vl.cztv.com/channels/lantian/channel001/360p.m3u8$订阅源
浙江卫视,http://gslbserv.itv.cmvideo.cn/1000000001000014260/1.m3u8?channel-id=ystenlive&Contentid=1000000001000014260&livemode=1&stbId=3$订阅源
浙江卫视,http://l.cztvcloud.com/channels/lantian/SXpinghu3/720p.m3u8$订阅源
湖南卫视,http://112.27.235.94:8000/hls/31/index.m3u8$订阅源
湖南卫视,http://58.57.40.22:9901/tsfile/live/1028_1.m3u8$订阅源
湖南卫视,http://183.11.239.36:808/hls/36/index.m3u8$订阅源
湖南卫视,http://124.116.183.146:9901/tsfile/live/0128_1.m3u8$订阅源
湖南卫视,http://120.76.248.139/live/bfgd/4200000086.m3u8$订阅源
湖南卫视,http://gslbserv.itv.cmvideo.cn/5000000004000006692/1.m3u8?channel-id=bestzb&Contentid=5000000004000006692&livemode=1&stbId=3$订阅源
湖南卫视,https://zby.130519.xyz/PLTV/11/224/3221225726/index.m3u8$订阅源
湖南卫视,http://satellitepull.cnr.cn/live/wx32hunws/playlist.m3u8$订阅源
北京卫视,http://112.27.235.94:8000/hls/27/index.m3u8$订阅源
北京卫视,http://58.57.40.22:9901/tsfile/live/1032_1.m3u8$订阅源
北京卫视,http://183.11.239.36:808/hls/41/index.m3u8$订阅源
北京卫视,http://gslbserv.itv.cmvideo.cn/6000000001000020451/1.m3u8?channel-id=wasusyt&Contentid=6000000001000020451&livemode=1&stbId=3$订阅源
北京卫视,http://t.061899.xyz/tl/dq.php?id=bjws$订阅源
北京卫视,http://120.76.248.139/live/bfgd/4200000083.m3u8$订阅源
北京卫视,http://124.116.183.146:9901/tsfile/live/0122_1.m3u8$订阅源
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8$订阅源
湖北卫视,http://183.11.239.36:808/hls/46/index.m3u8$订阅源
湖北卫视,http://58.57.40.22:9901/tsfile/live/1038_1.m3u8$订阅源
湖北卫视,http://112.27.235.94:8000/hls/41/index.m3u8$订阅源
湖北卫视,http://120.76.248.139/live/bfgd/4200000102.m3u8$订阅源
湖北卫视,http://124.116.183.146:9901/tsfile/live/0132_1.m3u8$订阅源
湖北卫视,http://gslbserv.itv.cmvideo.cn/1000000001000024621/1.m3u8?channel-id=ystenlive&Contentid=1000000001000024621&livemode=1&stbId=3$订阅源
湖北卫视,http://t.061899.xyz/tl/dq.php?id=hubws$订阅源
湖北卫视,https://zby.130519.xyz/PLTV/11/224/3221225729/index.m3u8$订阅源
黑龙江卫视,http://112.27.235.94:8000/hls/48/index.m3u8$订阅源
黑龙江卫视,http://58.57.40.22:9901/tsfile/live/1040_1.m3u8$订阅源
黑龙江卫视,http://gslbserv.itv.cmvideo.cn/1000000001000001925/1.m3u8?channel-id=ystenlive&Contentid=1000000001000001925&livemode=1&stbId=3$订阅源
黑龙江卫视,http://120.76.248.139/live/bfgd/4200000095.m3u8$订阅源
黑龙江卫视,http://t.061899.xyz/tl/dq.php?id=hljws$订阅源
黑龙江卫视,http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8$订阅源
黑龙江卫视,http://183.11.239.36:808/hls/48/index.m3u8$订阅源
黑龙江卫视,http://124.116.183.146:9901/tsfile/live/0143_1.m3u8$订阅源
安徽卫视,http://112.27.235.94:8000/hls/26/index.m3u8$订阅源
安徽卫视,http://58.57.40.22:9901/tsfile/live/1033_1.m3u8$订阅源
安徽卫视,http://182.150.23.74:808/hls/25/index.m3u8$订阅源
安徽卫视,http://120.76.248.139/live/bfgd/4200000096.m3u8$订阅源
安徽卫视,http://gslbserv.itv.cmvideo.cn/1000000001000030159/1.m3u8?channel-id=ystenlive&Contentid=1000000001000030159&livemode=1&stbId=3$订阅源
安徽卫视,http://222.169.85.8:9901/tsfile/live/0130_1.m3u8$订阅源
安徽卫视,http://124.116.183.146:9901/tsfile/live/0130_1.m3u8$订阅源
安徽卫视,https://zby.130519.xyz/PLTV/11/224/3221225739/index.m3u8$订阅源
重庆卫视,http://112.27.235.94:8000/hls/36/index.m3u8$订阅源
重庆卫视,http://183.11.239.36:808/hls/53/index.m3u8$订阅源
重庆卫视,http://gslbserv.itv.cmvideo.cn/1000000001000001096/1.m3u8?channel-id=ystenlive&Contentid=1000000001000001096&livemode=1&stbId=3$订阅源
重庆卫视,http://120.76.248.139/live/bfgd/4200000107.m3u8$订阅源
重庆卫视,http://222.169.85.8:9901/tsfile/live/0142_1.m3u8$订阅源
重庆卫视,http://t.061899.xyz/tl/dq.php?id=cqws$订阅源
重庆卫视,http://124.116.183.146:9901/tsfile/live/0142_1.m3u8$订阅源
重庆卫视,http://36.32.174.67:60080/newlive/live/hls/34/live.m3u8$订阅源
东方卫视,http://58.57.40.22:9901/tsfile/live/1030_1.m3u8$订阅源
东方卫视,http://112.46.85.60:8009/hls/31/index.m3u8$订阅源
东方卫视,http://183.11.239.36:808/hls/114/index.m3u8$订阅源
东方卫视,http://gslbserv.itv.cmvideo.cn/6000000001000003639/1.m3u8?channel-id=wasusyt&Contentid=6000000001000003639&livemode=1&stbId=3$订阅源
东方卫视,http://t.061899.xyz/tl/dq.php?id=dfws$订阅源
东方卫视,http://124.116.183.146:9901/tsfile/live/0107_1.m3u8$订阅源
东方卫视,http://120.76.248.139/live/bfgd/4200000093.m3u8$订阅源
东方卫视,https://zby.130519.xyz/PLTV/11/224/3221225725/index.m3u8$订阅源
东南卫视,http://112.27.235.94:8000/hls/38/index.m3u8$订阅源
东南卫视,http://58.57.40.22:9901/tsfile/live/1037_1.m3u8$订阅源
东南卫视,http://61.136.172.236:9901/tsfile/live/0137_1.m3u8$订阅源
东南卫视,http://8.138.7.223/tv/fjtv1.php?id=dnws$订阅源
东南卫视,http://t.061899.xyz/tl/dq.php?id=dnws$订阅源
东南卫视,https://zby.130519.xyz/PLTV/11/224/3221225745/index.m3u8$订阅源
东南卫视,http://120.76.248.139/live/bfgd/4200000483.m3u8$订阅源
东南卫视,http://gslbserv.itv.cmvideo.cn/5000000004000010584/1.m3u8?channel-id=bestzb&Contentid=5000000004000010584&livemode=1&stbId=3$订阅源
甘肃卫视,http://58.57.40.22:9901/tsfile/live/1056_1.m3u8$订阅源
甘肃卫视,http://183.11.239.36:808/hls/119/index.m3u8$订阅源
甘肃卫视,http://gslbserv.itv.cmvideo.cn/5000000011000031121/1.m3u8?channel-id=bestzb&Contentid=5000000011000031121&livemode=1&stbId=3$订阅源
甘肃卫视,http://cssbyd.imwork.net:8082/hls/48/index.m3u8$订阅源
甘肃卫视,http://t.061899.xyz/tl/dq.php?id=gsws$订阅源
甘肃卫视,https://zby.130519.xyz/PLTV/11/224/3221226090/index.m3u8$订阅源
甘肃卫视,http://111.61.236.247:9081/hls/54/index.m3u8$订阅源
甘肃卫视,http://ygbh.site/php/bfgd.php?id=119$订阅源
广西卫视,http://58.57.40.22:9901/tsfile/live/1049_1.m3u8$订阅源
广西卫视,https://zby.130519.xyz/PLTV/11/224/3221226084/index.m3u8$订阅源
广西卫视,http://gslbserv.itv.cmvideo.cn/5000000011000031118/1.m3u8?channel-id=bestzb&Contentid=5000000011000031118&livemode=1&stbId=3$订阅源
广西卫视,http://cssbyd.imwork.net:8082/hls/33/index.m3u8$订阅源
广西卫视,https://hlscdn.liangtv.cn/live/0c4ef3a44b934cacb8b47121dfada66c/d7e04258157b480dae53883cc6f8123b.m3u8$订阅源
广西卫视,https://hlscdn.liangtv.cn/live/de0f97348eb84f62aa6b7d8cf0430770/dd505d87880c478f901f38560ca4d4e6.m3u8$订阅源
广西卫视,http://36.32.174.67:60080/newlive/live/hls/38/live.m3u8$订阅源
广西卫视,http://ygbh.site/php/bfgd.php?id=116$订阅源
贵州卫视,http://112.27.235.94:8000/hls/46/index.m3u8$订阅源
贵州卫视,http://58.57.40.22:9901/tsfile/live/1042_1.m3u8$订阅源
贵州卫视,http://183.11.239.36:808/hls/49/index.m3u8$订阅源
贵州卫视,http://222.169.85.8:9901/tsfile/live/0120_1.m3u8$订阅源
贵州卫视,http://120.76.248.139/live/bfgd/4200000101.m3u8$订阅源
贵州卫视,http://cssbyd.imwork.net:8082/hls/39/index.m3u8$订阅源
贵州卫视,http://gslbserv.itv.cmvideo.cn/5000000004000025843/1.m3u8?channel-id=bestzb&Contentid=5000000004000025843&livemode=1&stbId=3$订阅源
贵州卫视,https://zby.130519.xyz/PLTV/11/224/3221226173/index.m3u8$订阅源
海南卫视,http://58.57.40.22:9901/tsfile/live/1000_1.m3u8$订阅源
海南卫视,http://gslbserv.itv.cmvideo.cn/5000000004000006211/1.m3u8?channel-id=bestzb&Contentid=5000000004000006211&livemode=1&stbId=3$订阅源
海南卫视,http://183.11.239.36:808/hls/124/index.m3u8$订阅源
海南卫视,http://cssbyd.imwork.net:8082/hls/31/index.m3u8$订阅源
海南卫视,https://zby.130519.xyz/PLTV/11/224/3221226154/index.m3u8$订阅源
海南卫视,http://120.76.248.139/live/bfgd/4200000473.m3u8$订阅源
海南卫视,http://t.061899.xyz/tl/dq.php?id=hinws$订阅源
海南卫视,http://36.32.174.67:60080/newlive/live/hls/46/live.m3u8$订阅源
河北卫视,http://112.27.235.94:8000/hls/39/index.m3u8$订阅源
河北卫视,http://58.57.40.22:9901/tsfile/live/1044_1.m3u8$订阅源
河北卫视,http://183.11.239.36:808/hls/54/index.m3u8$订阅源
河北卫视,http://tv.pull.hebtv.com/jishi/weishipindao.m3u8?t=2510710360&k=3d44740039027301acf8341d7361ab59$订阅源
河北卫视,https://jwplay.hebyun.com.cn/live/hbwstv/1500k/tzwj_video.m3u8$订阅源
河北卫视,http://111.61.236.247:9081/hls/17/index.m3u8$订阅源
河北卫视,http://gslbserv.itv.cmvideo.cn/5000000006000040016/1.m3u8?channel-id=bestzb&Contentid=5000000006000040016&livemode=1&stbId=3$订阅源
河北卫视,http://t.061899.xyz/tl/dq.php?id=hbws$订阅源
河南卫视,http://112.27.235.94:8000/hls/37/index.m3u8$订阅源
河南卫视,http://58.57.40.22:9901/tsfile/live/1048_1.m3u8$订阅源
河南卫视,https://zby.130519.xyz/PLTV/11/224/3221226132/index.m3u8$订阅源
河南卫视,http://cssbyd.imwork.net:8082/hls/37/index.m3u8$订阅源
河南卫视,http://tvpull.dxhmt.cn:9081/tv/11425-1.m3u8$订阅源
河南卫视,http://183.11.239.36:808/hls/51/index.m3u8$订阅源
河南卫视,http://gslbserv.itv.cmvideo.cn/5000000011000031119/1.m3u8?channel-id=bestzb&Contentid=5000000011000031119&livemode=1&stbId=3$订阅源
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws$订阅源
吉林卫视,http://58.57.40.22:9901/tsfile/live/1050_1.m3u8$订阅源
吉林卫视,http://cssbyd.imwork.net:8082/hls/41/index.m3u8$订阅源
吉林卫视,http://gslbserv.itv.cmvideo.cn/5000000011000031117/1.m3u8?channel-id=bestzb&Contentid=5000000011000031117&livemode=1&stbId=3$订阅源
吉林卫视,http://183.11.239.36:808/hls/10/index.m3u8$订阅源
吉林卫视,https://zby.130519.xyz/PLTV/11/224/3221226149/index.m3u8$订阅源
吉林卫视,http://120.76.248.139/live/bfgd/4200000097.m3u8$订阅源
吉林卫视,http://t.061899.xyz/tl/dq.php?id=jlws$订阅源
吉林卫视,http://111.61.236.247:9081/hls/45/index.m3u8$订阅源
江苏卫视,http://112.27.235.94:8000/hls/32/index.m3u8$订阅源
江苏卫视,http://58.57.40.22:9901/tsfile/live/1031_1.m3u8$订阅源
江苏卫视,http://112.46.85.60:8009/hls/33/index.m3u8$订阅源
江苏卫视,http://182.150.23.74:808/hls/18/index.m3u8$订阅源
江苏卫视,http://183.11.239.36:808/hls/38/index.m3u8$订阅源
江苏卫视,http://gslbserv.itv.cmvideo.cn/1000000001000001828/1.m3u8?channel-id=ystenlive&Contentid=1000000001000001828&livemode=1&stbId=3$订阅源
江苏卫视,http://120.76.248.139/live/bfgd/4200000085.m3u8$订阅源
江苏卫视,http://223.241.247.214:9901/tsfile/live/1008_1.m3u8$订阅源
江西卫视,http://112.27.235.94:8000/hls/44/index.m3u8$订阅源
江西卫视,http://gslbserv.itv.cmvideo.cn/1000000006000268001/1.m3u8?channel-id=ystenlive&Contentid=1000000006000268001&livemode=1&stbId=3$订阅源
江西卫视,http://58.57.40.22:9901/tsfile/live/1043_1.m3u8$订阅源
江西卫视,http://183.11.239.36:808/hls/44/index.m3u8$订阅源
江西卫视,http://t.061899.xyz/tl/dq.php?id=jxws$订阅源
江西卫视,http://120.76.248.139/live/bfgd/4200000098.m3u8$订阅源
江西卫视,https://zby.130519.xyz/PLTV/11/224/3221225740/index.m3u8$订阅源
江西卫视,http://ygbh.site/php/bfgd.php?id=098$订阅源
辽宁卫视,http://112.27.235.94:8000/hls/47/index.m3u8$订阅源
辽宁卫视,http://58.57.40.22:9901/tsfile/live/1035_1.m3u8$订阅源
