

🍉西瓜早安好心情音乐欣赏频道,#genre#
原乡情浓-邓丽君,https://txmov2.a.kwimgs.com/bs3/video-hls/5225020176328143494_d2ac5e06ab1d38b7_8457_hlsb.m3u8


西瓜🍉Now经典体育,#genre#


鳳凰衛視資訊,http://bxtv.3a.ink/api.php?id=fhzx

鳳凰衛視中文,http://bxtv.3a.ink/api.php?id=fhzw

鳳凰衛視香港,http://bxtv.3a.ink/api.php?id=fhhk

翡翠台,http://bxtv.3a.ink/api.php?id=fct
myTV SUPER 18台,http://bxtv.3a.ink/api.php?id=18
TVB Plus,http://bxtv.3a.ink/api.php?id=tvbp
明珠台,http://bxtv.3a.ink/api.php?id=mz
無線新聞台,http://bxtv.3a.ink/api.php?id=wxxw
美亞電影台,http://bxtv.3a.ink/api.php?id=meiya
VIUTV,http://bxtv.3a.ink/api.php?id=viutv
千禧經典台,http://bxtv.3a.ink/api.php?id=qxjd

NOW新闻,http://bxtv.3a.ink/api.php?id=now
NOW体育,http://main.light-ott.net:80/play/live.php?mac=00:1A:79:3A:93:FD&stream=382834&extension=ts&play_token=JBOlpsgTKU
NOW体育1,http://main.light-ott.net:80/play/live.php?mac=00:1A:79:3A:93:FD&stream=382843&extension=ts&play_token=KANAeecxcz
NOW体育2,http://main.light-ott.net:80/play/live.php?mac=00:1A:79:3A:93:FD&stream=382842&extension=ts&play_token=MCoDoR8s9G
NOW体育3,http://main.light-ott.net:80/play/live.php?mac=00:1A:79:3A:93:FD&stream=382841&extension=ts&play_token=5uiKCGTNCF
NOW体育4,http://main.light-ott.net:80/play/live.php?mac=00:1A:79:3A:93:FD&stream=382840&extension=ts&play_token=eoeYdjrkUg
NOW体育5,http://main.light-ott.net:80/play/live.php?mac=00:1A:79:3A:93:FD&stream=382839&extension=ts&play_token=lu0NOftGgg
NOW体育6,http://main.light-ott.net:80/play/live.php?mac=00:1A:79:3A:93:FD&stream=382838&extension=ts&play_token=WQ4pi5DTy3
NOW体育7,http://main.light-ott.net:80/play/live.php?mac=00:1A:79:3A:93:FD&stream=382837&extension=ts&play_token=rRmhe1TsX7
NOW体育4K1,http://main.light-ott.net:80/play/live.php?mac=00:1A:79:3A:93:FD&stream=382836&extension=ts&play_token=jSAYXQsMoY
PopC,http://bxtv.3a.ink/api.php?id=popc











🍉西瓜央视频道,#genre#

CCTV1,http://go.bkpcp.top/mg/cctv1

 CCTV2,http://go.bkpcp.top/mg/cctv2
 CCTV3,http://go.bkpcp.top/mg/cctv3
 CCTV4,http://go.bkpcp.top/mg/cctv4
 CCTV5,http://go.bkpcp.top/mg/cctv5

CCTV5+,http://go.bkpcp.top/mg/cctv5p

 CCTV6,http://go.bkpcp.top/mg/cctv6

CCTV7,http://go.bkpcp.top/mg/cctv7 CCTV8,http://go.bkpcp.top/mg/cctv8

CCTV9,http://go.bkpcp.top/mg/cctv9

CCTV10,http://go.bkpcp.top/mg/cctv10
 CCTV11,http://go.bkpcp.top/mg/cctv11

CCTV12,http://go.bkpcp.top/mg/cctv12

 CCTV13,http://go.bkpcp.top/mg/cctv13

 CCTV14,http://go.bkpcp.top/mg/cctv14

CCTV15,http://go.bkpcp.top/mg/cctv15

CCTV16,http://go.bkpcp.top/mg/cctv16

CCTV17,http://go.bkpcp.top/mg/cctv17 

cct4欧洲,http://go.bkpcp.top/mg/cctv4o

cct4美洲,http://go.bkpcp.top/mg/cctv4m

CGTN-西,http://go.bkpcp.top/mg/cgtne

 CGTN-阿,http://go.bkpcp.top/mg/cgtna

 CGTN-法,http://go.bkpcp.top/mg/cgtnf

 北京卫视,http://go.bkpcp.top/mg/bjws
东方卫视,http://go.bkpcp.top/mg/dfws


浙江卫视,http://go.bkpcp.top/mg/zjws


 江苏卫视,http://go.bkpcp.top/mg/jsws 


湖南卫视,http://go.bkpcp.top/mg/hunws


 广东卫视,http://go.bkpcp.top/mg/gdws 


深圳卫视4k,http://go.bkpcp.top/mg/szws 

山东卫视,http://go.bkpcp.top/mg/sdws


河南卫视,http://go.bkpcp.top/mg/hnws


江西卫视,http://go.bkpcp.top/mg/jxws 


湖北卫视,http://go.bkpcp.top/mg/hubws


 海南卫视,http://go.bkpcp.top/mg/hinws


陕西卫视,http://go.bkpcp.top/mg/sxws 


兵团卫视,http://go.bkpcp.top/mg/btws


 黑龙江视,http://go.bkpcp.top/mg/hljws 


兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u84K


超高清,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.249:8001


淘电影,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.250:8001
淘剧场,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.95:8001
淘娱乐,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.100:8001
淘Baby,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.238:8001










西瓜🍉央视备用秒播,#genre#
CCTV1,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33
CCTV-1综合,http://t.061899.xyz/tl/tl.php?id=cctv1
CCTV-2财经,http://t.061899.xyz/tl/tl.php?id=cctv2
CCTV-3综艺,http://t.061899.xyz/tl/tl.php?id=cctv3
CCTV-4中文国际,http://t.061899.xyz/tl/tl.php?id=cctv4
CCTV-5体育,http://t.061899.xyz/tl/tl.php?id=cctv5
CCTV-5+体育赛事,http://t.061899.xyz/tl/tl.php?id=cctv5p
CCTV-6电影,http://t.061899.xyz/tl/tl.php?id=cctv6
CCTV-7国防军事,http://t.061899.xyz/tl/tl.php?id=cctv7
CCTV-8电视剧,http://t.061899.xyz/tl/tl.php?id=cctv8
CCTV-9纪录,http://t.061899.xyz/tl/tl.php?id=cctv9
CCTV-10科教,http://t.061899.xyz/tl/tl.php?id=cctv10
CCTV-11戏曲,http://t.061899.xyz/tl/tl.php?id=cctv11
CCTV-12社会与法,http://t.061899.xyz/tl/tl.php?id=cctv12
CCTV-13新闻,http://t.061899.xyz/tl/tl.php?id=cctv13
CCTV-13新闻,https://cdn3.946985.qzz.io/live/cctv13/stream.m3u8
CCTV-14少儿,http://t.061899.xyz/tl/tl.php?id=cctv14
CCTV-15音乐,http://t.061899.xyz/tl/tl.php?id=cctv15
CCTV-16奥运,http://t.061899.xyz/tl/tl.php?id=cctv16
CCTV-17农业农村,http://t.061899.xyz/tl/tl.php?id=cctv17
浙江卫视,http://t.061899.xyz/tl/tl.php?id=zjws
广东卫视,http://t.061899.xyz/tl/tl.php?id=gdws
江苏卫视,http://t.061899.xyz/tl/tl.php?id=jsws
东方卫视,http://t.061899.xyz/tl/tl.php?id=dfws
陕西卫视,http://t.061899.xyz/tl/tl.php?id=sxws
江西卫视,http://t.061899.xyz/tl/tl.php?id=jxws
湖北卫视,http://t.061899.xyz/tl/tl.php?id=hubws
吉林卫视,http://t.061899.xyz/tl/tl.php?id=jlws
青海卫视,http://t.061899.xyz/tl/tl.php?id=qhws
河南卫视,http://t.061899.xyz/tl/tl.php?id=hnws
东南卫视,http://t.061899.xyz/tl/tl.php?id=dnws
大湾区卫视,http://t.061899.xyz/tl/tl.php?id=dwqws
海南卫视,http://t.061899.xyz/tl/tl.php?id=hinws
湖南卫视,http://t.061899.xyz/tl/tl.php?id=hunws
北京卫视,http://t.061899.xyz/tl/tl.php?id=bjws
天津卫视,http://t.061899.xyz/tl/tl.php?id=tjws
重庆卫视,http://t.061899.xyz/tl/tl.php?id=cqws
黑龙江卫视,http://t.061899.xyz/tl/tl.php?id=hljws
吉林卫视,http://t.061899.xyz/tl/tl.php?id=jlws
辽宁卫视,http://t.061899.xyz/tl/tl.php?id=lnws
内蒙古卫视,http://t.061899.xyz/tl/tl.php?id=nmgws
甘肃卫视,http://t.061899.xyz/tl/tl.php?id=gsws
河北卫视,http://t.061899.xyz/tl/tl.php?id=hbws
山西卫视,http://t.061899.xyz/tl/tl.php?id=sxiws
山东卫视,http://t.061899.xyz/tl/tl.php?id=sdws
安徽卫视,http://t.061899.xyz/tl/tl.php?id=ahws
深圳卫视,http://t.061899.xyz/tl/tl.php?id=szws
广西卫视,http://t.061899.xyz/tl/tl.php?id=gxws
云南卫视,http://t.061899.xyz/tl/tl.php?id=ynws
宁夏卫视,http://t.061899.xyz/tl/tl.php?id=nxws
贵州卫视,http://t.061899.xyz/tl/tl.php?id=gzws
四川卫视,http://t.061899.xyz/tl/tl.php?id=scws
新疆卫视,http://t.061899.xyz/tl/tl.php?id=xjws
西藏卫视,http://t.061899.xyz/tl/tl.php?id=xzws
厦门卫视,http://113.195.172.192:808/hls/113/index.m3u8



🇨🇳西瓜🍉央视卫视,#genre#
CCTV1-综合,http://114.241.110.111:85/tsfile/live/1/1001_1.m3u8?key=txiptv
CCTV2-财经,http://114.241.110.111:85/tsfile/live/2/1002_1.m3u8?key=txiptv
CCTV3-综艺,http://114.241.110.111:85/tsfile/live/3/1003_1.m3u8?key=txiptv
CCTV4-国际,http://114.241.110.111:85/tsfile/live/4/1004_1.m3u8?key=txiptv
CCTV5-体育,http://114.241.110.111:85/tsfile/live/5/1005_1.m3u8?key=txiptv
CCTV6-电影,http://114.241.110.111:85/tsfile/live/6/1006_1.m3u8?key=txiptv
CCTV7-军农,http://114.241.110.111:85/tsfile/live/7/1007_1.m3u8?key=txiptv
CCTV8-电视剧,http://114.241.110.111:85/tsfile/live/8/1008_1.m3u8?key=txiptv
CCTV9-纪录,http://114.241.110.111:85/tsfile/live/9/1009_1.m3u8?key=txiptv
CCTV10-科教,http://114.241.110.111:85/tsfile/live/10/1010_1.m3u8?key=txiptv
CCTV11-戏曲,http://114.241.110.111:85/tsfile/live/11/1011_1.m3u8?key=txiptv
CCTV12-社会与法,http://114.241.110.111:85/tsfile/live/12/1012_1.m3u8?key=txiptv
CCTV13-新闻,http://114.241.110.111:85/tsfile/live/13/1013_1.m3u8?key=txiptv
CCTV14-少儿,http://114.241.110.111:85/tsfile/live/14/1014_1.m3u8?key=txiptv
CCTV15-音乐,http://114.241.110.111:85/tsfile/live/15/1015_1.m3u8?key=txiptv
北京卫视,http://114.241.110.111:85/tsfile/live/16/1016_1.m3u8?key=txiptv
湖南卫视高清,http://114.241.110.111:85/tsfile/live/26/1026_1.m3u8?key=txiptv
浙江卫视-高清,http://114.241.110.111:85/tsfile/live/27/1027_1.m3u8?key=txiptv
江苏卫视-高清,http://114.241.110.111:85/tsfile/live/28/1028_1.m3u8?key=txiptv
安徽卫视,http://114.241.110.111:85/tsfile/live/29/1029_1.m3u8?key=txiptv
天津卫视-高清,http://114.241.110.111:85/tsfile/live/30/1030_1.m3u8?key=txiptv
辽宁卫视,http://114.241.110.111:85/tsfile/live/31/1031_1.m3u8?key=txiptv
江苏卫视,http://114.241.110.111:85/tsfile/live/32/1032_1.m3u8?key=txiptv
云南卫视,http://114.241.110.111:85/tsfile/live/33/1033_1.m3u8?key=txiptv
河南卫视,http://114.241.110.111:85/tsfile/live/34/1034_1.m3u8?key=txiptv
黑龙江卫视-高清,http://114.241.110.111:85/tsfile/live/35/1035_1.m3u8?key=txiptv
四川卫视,http://114.241.110.111:85/tsfile/live/36/1036_1.m3u8?key=txiptv
江西卫视,http://114.241.110.111:85/tsfile/live/37/1037_1.m3u8?key=txiptv
贵州卫视-高清,http://114.241.110.111:85/tsfile/live/38/1038_1.m3u8?key=txiptv
深圳卫视,http://114.241.110.111:85/tsfile/live/39/1039_1.m3u8?key=txiptv
湖北卫视-高清,http://114.241.110.111:85/tsfile/live/40/1040_1.m3u8?key=txiptv
东方卫视-高清,http://114.241.110.111:85/tsfile/live/41/1041_1.m3u8?key=txiptv
重庆卫视,http://114.241.110.111:85/tsfile/live/42/1042_1.m3u8?key=txiptv
东南卫视,http://114.241.110.111:85/tsfile/live/43/1043_1.m3u8?key=txiptv
河北卫视-高清,http://114.241.110.111:85/tsfile/live/44/1044_1.m3u8?key=txiptv
广东卫视-高清,http://114.241.110.111:85/tsfile/live/45/1045_1.m3u8?key=txiptv
广西卫视,http://114.241.110.111:85/tsfile/live/46/1046_1.m3u8?key=txiptv
吉林卫视,http://114.241.110.111:85/tsfile/live/47/1047_1.m3u8?key=txiptv
陕西卫视,http://114.241.110.111:85/tsfile/live/48/1048_1.m3u8?key=txiptv
山西卫视,http://114.241.110.111:85/tsfile/live/49/1049_1.m3u8?key=txiptv
内蒙古卫视,http://114.241.110.111:85/tsfile/live/50/1050_1.m3u8?key=txiptv
青海卫视,http://114.241.110.111:85/tsfile/live/51/1051_1.m3u8?key=txiptv
宁夏卫视,http://114.241.110.111:85/tsfile/live/52/1052_1.m3u8?key=txiptv
西藏卫视,http://114.241.110.111:85/tsfile/live/53/1053_1.m3u8?key=txiptv

🍅西瓜🍉央视高码,#genre#
CCTV1,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1 
CCTV2,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2 
CCTV3,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv3 
CCTV4,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4 
CCTV5,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5 
CCTV5+,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5p 
CCTV6,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv6 
CCTV7,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv7 
CCTV8,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv8 
CCTV9,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv9 
CCTV10,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv10
CCTV11,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv11 
CCTV12,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv12 
CCTV13,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv13 
CCTV14,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv14 
CCTV15,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv15 
CCTV16,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv16 
CCTV17,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv17 

🍎西瓜🍉卫视高码,#genre#
北京卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=bjws 
东方卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dfws 
浙江卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=zjws 
江苏卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jsws 
湖南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hunws 
广东卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gdws 
深圳卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=szws 
天津卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=tjws 
安徽卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=ahws 
山东卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=sdws 
辽宁卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=lnws 
河北卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hbws 
河南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hnws 
江西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jxws 
四川卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=scws 
重庆卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cqws 
贵州卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gzws 
湖北卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hubws 
广西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gxws 
东南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dnws 
海南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hinws 
青海卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=qhws 
吉林卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jlws 
黑龙江视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hljws

西瓜🍉新增广东,#genre#


广东珠江,http://156.238.248.80/2099.php?id=666
广东体育,http://156.238.248.80/2099.php?id=667


广东珠江,http://156.238.248.80/2099.php?id=687
广东体育,http://156.238.248.80/2099.php?id=688
广州综合,http://156.238.248.80/2099.php?id=689
广州综合,http://156.238.248.80/2099.php?id=690
广州综合,http://156.238.248.80/2099.php?id=211
广州综合,http://156.238.248.80/2099.php?id=212
广州综合,http://156.238.248.80/2099.php?id=213
广州新闻,http://156.238.248.80/2099.php?id=214
广州南国,http://156.238.248.80/2099.php?id=215
番禺电视台,http://156.238.248.80/2099.php?id=216
河源综合,http://156.238.248.80/2099.php?id=217
番禺电视,http://156.238.248.80/2099.php?id=218
东莞新闻综合,http://156.238.248.80/2099.php?id=219


西瓜🍉上海都士频道,#genre#


西瓜🍉上海东方卫视,http://156.238.248.80/2099.php?id=99
西瓜🍉五星体育,http://156.238.248.80/2099.php?id=100
西瓜🍉第一财经,http://156.238.248.80/2099.php?id=101
西瓜🍉新闻综合,http://156.238.248.80/2099.php?id=102
西瓜都市频道,http://156.238.248.80/2099.php?id=103
西瓜🍉新纪实,http://156.238.248.80/2099.php?id=104
西瓜🍉上海👁眼,http://156.238.248.80/2099.php?id=105
西瓜🍉我爱上海,http://156.238.248.80/2099.php?id=106





西瓜🍉测试港台频道,#genre#

凤凰资讯HD,https://cdn6.101.qzz.io/163189/fhzx
凤凰资讯HD,http://rihou.cc:555/tv/[Bx]凤凰资讯
凤凰资讯HD,http://rihou.cc:555/tv/[PL]凤凰资讯
凤凰资讯HD,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
凤凰资讯HD,http://r.jdshipin.com/0Rp07
凤凰资讯HD,http://43.152.143.193/1.v.smtcdns.net/tvlive.fengshows.cn/live/0701pin72.flv

凤凰中文HD,https://cdn6.101.qzz.io/163189/fhzw
凤凰中文HD,http://rihou.cc:555/tv/[Bx]凤凰中文
凤凰中文HD,http://rihou.cc:555/tv/[PL]凤凰中文
凤凰中文HD,http://r.jdshipin.com/cCCzW
凤凰中文HD,http://43.152.143.193/1.v.smtcdns.net/tvlive.fengshows.cn/live/0701pcc72.flv
凤凰中文HD,http://api.kkitv.itv888.vip:8080/streams/vny1wblsnch/index.m3u8

凤凰香港台,https://cdn6.101.qzz.io/163189/fhhk
凤凰香港台,http://rihou.cc:555/tv/[Bx]凤凰香港
凤凰香港台,http://rihou.cc:555/tv/[PL]凤凰香港
凤凰香港台,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn
凤凰香港台,http://r.jdshipin.com/yDoTN

翡翠台,http://hls.168.us.kg/u/81/master.m3u8
翡翠台,http://rihou.cc:555/tv/[Pd]无线翡翠
翡翠台,http://rihou.cc:555/tv/[Mt]无线翡翠
翡翠台,http://rihou.cc:555/tv/[PL]无线翡4k
翡翠台,http://r.jdshipin.com/62WM7
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
翡翠台,http://r.jdshipin.com/thuYX
翡翠台,http://api.kkitv.itv888.vip:8080/streams/jutaw8wu0j9/index.m3u8
翡翠台,http://mytv.cdn.loc.cc/o12.php?id=fct
明珠台,http://hls.168.us.kg/u/84/master.m3u8
明珠台,http://rihou.cc:555/tv/[Mt]无线明珠
明珠台,http://rihou.cc:555/tv/[Pd]无线明珠
明珠台,http://r.jdshipin.com/ZQ4kN
明珠台,http://php.jdshipin.com/PLTV/iptv.php?id=mzt
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt
TVB1,https://6.cdn.loc.cc/163189.php?id=tvb1
TVB1,http://iptv.4666888.xyz/iptv2A.php?id=25
TVBJ1,http://php.jdshipin.com/TVOD/iptv.php?id=j1
TVBJ1,http://iptv.4666888.xyz/iptv2A.php?id=26
TVB星河,https://cdn6.101.qzz.io/163189/tvbxh
TVB星河,http://rihou.cc:555/tv/[Pd]无线星河
TVB星河,http://rihou.cc:555/tv/[PL]无线星河
TVB星河,http://r.jdshipin.com/Voac4
ViuTV,https://cdn.163189.xyz/163189/viu
ViuTV,http://r.jdshipin.com/vSJvl
ViuTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv2
ViuTV6,http://api.kkitv.itv888.vip:8080/streams/bvdslcl5cts/index.m3u8
ViuTV6,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=4aCiD4&tk=rf2ptUUwLxlr
RHK31,http://php.jdshipin.com/TVOD/iptv.php?id=rthk31
RHK31,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=R4jPlP&tk=rf2ptUUwLxlr
RHK31,http://rihou.cc:555/tv/[Mt]RTHK-31
RHK31,http://rihou.cc:555/tv/[PL]RTHK-31
RHK32,http://api.kkitv.itv888.vip:8080/streams/emzampd6m1i/index.m3u8
RHK32,http://rihou.cc:555/tv/[PL]RTHK-32
RHK32,http://php.jdshipin.com/TVOD/iptv.php?id=rthk32
无线新闻台,https://cdn6.101.qzz.io/163189/wxxw
无线新闻台,http://bxtv.3a.ink/api.php?id=wxxw
无线新闻台,http://hls.168.us.kg/u/83/master.m3u8
无线新闻台,http://rihou.cc:555/tv/[Mt]无线新闻
TVB 时好时坏功夫国语,http://rihou.cc:555/tv/[Hk]无线功夫
无线功夫粤赏,http://rihou.cc:555/tv/[Pd]无线功夫

天映频道,http://156.238.248.80/2099.php?id=645
天映经典,http://156.238.248.80/2099.php?id=646

爱奇艺,http://156.238.248.80/2099.php?id=649
Astro QJ,http://156.238.248.80/2099.php?id=650


重温经典,http://156.238.248.80/2099.php?id=665
无线千禧欣赏,http://rihou.cc:555/tv/[Bx]无线千禧
无线生活欣赏,http://rihou.cc:555/tv/[Hk]无线生活
无线娱乐欣赏,http://rihou.cc:555/tv/[PL]无线娱乐
无线赛马欣赏,http://rihou.cc:555/tv/[Bx]无线赛马
无线奖门欣赏,http://rihou.cc:555/tv/[Hk]无线奖门
无线金曲欣赏,http://rihou.cc:555/tv/[Hk]无线金曲
黄金翡翠欣赏,http://rihou.cc:555/tv/[Hk]黄金翡翠
黄金华剧欣赏,http://rihou.cc:555/tv/[Hk]黄金华剧

Now华剧欣赏,http://rihou.cc:555/tv/[Hk]Now华剧
Now剧集欣赏,http://rihou.cc:555/tv/[Hk]Now剧集
Now紫金欣赏,http://rihou.cc:555/tv/[Hk]Now紫金
Now财经欣赏,http://rihou.cc:555/tv/[Mt]Now财经
Now直播欣赏,http://rihou.cc:555/tv/[Mt]Now直播
Now英超壹赏,http://rihou.cc:555/tv/[XS]Now英超

Now新闻台,http://cdn.163189.xyz/163189/now
Now新闻台,http://hls.168.us.kg/u/332/master.m3u8
Now新闻台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=QLWSn7&tk=rf2ptUUwLxlr
Now新闻台,http://rihou.cc:555/tv/[Mt]Now新闻
Now新闻台,P2p://starvod.xyz:19806/d0ba9cc570654f6d958809d4c3f8931d.ts
Now财经,http://hls.168.us.kg/u/333/master.m3u8
Now财经,http://rihou.cc:555/tv/[Mt]Now财经
Now直播,http://hls.168.us.kg/u/331/master.m3u8
Now直播,http://rihou.cc:555/tv/[Mt]Now直播
Now直播,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=khk4lP&tk=rf2ptUUwLxlr
Now紫金国际台,http://rihou.cc:555/tv/[Hk]Now紫金
Now紫金国际台,http://hls-pull-wicketpw.speedws.com/live/k6bfbXwls4gDvwuzXM1D4wI4h1r2TYzMljRckRMJ0nU5YV9170.flv
Now华剧,http://rihou.cc:555/tv/[Hk]Now华剧
Now华剧,http://hls-pull-wicketpw.speedws.com/live/T54mtfnV46CgYjlYrvgcEKyUDBtzjb1daenJuHJ233JV8upmKZ.flv
